"","variavel","nivel","cod_munic_ibge_2_fam_eq","ano_atual_familia","n"
"80","cod_abaste_agua_domic_fam_eq","Não informado",16,2005,32
"81","cod_abaste_agua_domic_fam_eq","Não informado",16,2006,5340
"82","cod_abaste_agua_domic_fam_eq","Não informado",16,2007,910
"83","cod_abaste_agua_domic_fam_eq","Não informado",16,2008,15
"84","cod_abaste_agua_domic_fam_eq","Não informado",16,2009,22
"85","cod_abaste_agua_domic_fam_eq","Não informado",16,2010,29
"86","cod_abaste_agua_domic_fam_eq","Não informado",16,2011,132
"87","cod_abaste_agua_domic_fam_eq","Não informado",16,2012,1206
"88","cod_abaste_agua_domic_fam_eq","Não informado",16,2013,1113
"89","cod_abaste_agua_domic_fam_eq","Não informado",16,2014,1963
"90","cod_abaste_agua_domic_fam_eq","Não informado",16,2015,1055
"91","cod_abaste_agua_domic_fam_eq","Não informado",17,2001,34044
"92","cod_abaste_agua_domic_fam_eq","Não informado",17,2002,2
"93","cod_abaste_agua_domic_fam_eq","Não informado",17,2003,621
"94","cod_abaste_agua_domic_fam_eq","Não informado",17,2004,357
"95","cod_abaste_agua_domic_fam_eq","Não informado",17,2005,3325
"96","cod_abaste_agua_domic_fam_eq","Não informado",17,2006,21226
"97","cod_abaste_agua_domic_fam_eq","Não informado",17,2007,3532
"98","cod_abaste_agua_domic_fam_eq","Não informado",17,2008,113
"99","cod_abaste_agua_domic_fam_eq","Não informado",17,2009,33
"100","cod_abaste_agua_domic_fam_eq","Não informado",17,2010,20
"101","cod_abaste_agua_domic_fam_eq","Não informado",17,2011,2979
"102","cod_abaste_agua_domic_fam_eq","Não informado",17,2012,7822
"103","cod_abaste_agua_domic_fam_eq","Não informado",17,2013,7887
"104","cod_abaste_agua_domic_fam_eq","Não informado",17,2014,2895
"105","cod_abaste_agua_domic_fam_eq","Não informado",17,2015,2270
"106","cod_abaste_agua_domic_fam_eq","Não informado",21,2001,221643
"107","cod_abaste_agua_domic_fam_eq","Não informado",21,2002,4259
"108","cod_abaste_agua_domic_fam_eq","Não informado",21,2003,4401
"109","cod_abaste_agua_domic_fam_eq","Não informado",21,2004,6039
"110","cod_abaste_agua_domic_fam_eq","Não informado",21,2005,18834
"111","cod_abaste_agua_domic_fam_eq","Não informado",21,2006,123657
"112","cod_abaste_agua_domic_fam_eq","Não informado",21,2007,22826
"113","cod_abaste_agua_domic_fam_eq","Não informado",21,2008,641
"114","cod_abaste_agua_domic_fam_eq","Não informado",21,2009,188
"115","cod_abaste_agua_domic_fam_eq","Não informado",21,2010,95
"116","cod_abaste_agua_domic_fam_eq","Não informado",21,2011,7953
"117","cod_abaste_agua_domic_fam_eq","Não informado",21,2012,25640
"118","cod_abaste_agua_domic_fam_eq","Não informado",21,2013,22897
"119","cod_abaste_agua_domic_fam_eq","Não informado",21,2014,21320
"120","cod_abaste_agua_domic_fam_eq","Não informado",21,2015,12134
"121","cod_abaste_agua_domic_fam_eq","Não informado",22,2001,89596
"122","cod_abaste_agua_domic_fam_eq","Não informado",22,2002,2
"123","cod_abaste_agua_domic_fam_eq","Não informado",22,2003,3003
"124","cod_abaste_agua_domic_fam_eq","Não informado",22,2004,8741
"125","cod_abaste_agua_domic_fam_eq","Não informado",22,2005,7753
"126","cod_abaste_agua_domic_fam_eq","Não informado",22,2006,53000
"127","cod_abaste_agua_domic_fam_eq","Não informado",22,2007,8168
"128","cod_abaste_agua_domic_fam_eq","Não informado",22,2008,254
"129","cod_abaste_agua_domic_fam_eq","Não informado",22,2009,90
"130","cod_abaste_agua_domic_fam_eq","Não informado",22,2010,31
"131","cod_abaste_agua_domic_fam_eq","Não informado",22,2011,6416
"132","cod_abaste_agua_domic_fam_eq","Não informado",22,2012,17585
"133","cod_abaste_agua_domic_fam_eq","Não informado",22,2013,11601
"134","cod_abaste_agua_domic_fam_eq","Não informado",22,2014,9820
"135","cod_abaste_agua_domic_fam_eq","Não informado",22,2015,5750
"136","cod_abaste_agua_domic_fam_eq","Não informado",23,2001,267483
"137","cod_abaste_agua_domic_fam_eq","Não informado",23,2002,1256
"138","cod_abaste_agua_domic_fam_eq","Não informado",23,2003,10118
"139","cod_abaste_agua_domic_fam_eq","Não informado",23,2004,16879
"140","cod_abaste_agua_domic_fam_eq","Não informado",23,2005,34298
"141","cod_abaste_agua_domic_fam_eq","Não informado",23,2006,138328
"142","cod_abaste_agua_domic_fam_eq","Não informado",23,2007,20415
"143","cod_abaste_agua_domic_fam_eq","Não informado",23,2008,743
"144","cod_abaste_agua_domic_fam_eq","Não informado",23,2009,222
"145","cod_abaste_agua_domic_fam_eq","Não informado",23,2010,98
"146","cod_abaste_agua_domic_fam_eq","Não informado",23,2011,1552
"147","cod_abaste_agua_domic_fam_eq","Não informado",23,2012,2421
"148","cod_abaste_agua_domic_fam_eq","Não informado",23,2013,1675
"149","cod_abaste_agua_domic_fam_eq","Não informado",23,2014,2035
"150","cod_abaste_agua_domic_fam_eq","Não informado",23,2015,1087
